fire1_id,fire1_date,fire1_latitude,fire1_longitude,fire2_id,fire2_date,fire2_latitude,fire2_longitude,distance_km,duration_min
9039170,2018-08-03 15:30:00,47.51,-113.18,9232042,2018-08-03 14:00:00,35.4,-118.77,2068.4546,1658.255
9039170,2018-08-03 15:30:00,47.51,-113.18,9250771,2018-08-02 19:45:00,36.36,-112.3,1565.1759,1577.12
9039170,2018-08-03 15:30:00,47.51,-113.18,9251016,2018-07-27 17:00:00,40.5,-112.96,1056.473,1051.8516666666667
9039170,2018-08-03 15:30:00,47.51,-113.18,9251374,2018-07-29 19:30:00,39.3,-109.87,1337.8627,1396.4316666666666
9039170,2018-08-03 15:30:00,47.51,-113.18,9255966,2018-07-28 14:15:00,38.46,-111.48,1284.1681999999998,1296.7733333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9256131,2018-07-27 19:30:00,47.79,-119.98,819.6126999999999,936.1066666666667
9039170,2018-08-03 15:30:00,47.51,-113.18,9268919,2018-07-28 08:30:00,47.03,-121.7,1065.4387,1117.775
9039170,2018-08-03 15:30:00,47.51,-113.18,9269467,2018-07-28 01:00:00,34.61,-110.82,1914.6576,1677.1966666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9041592,2018-08-05 13:30:00,40.71,-110.94,1169.2555,783.3066666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9041835,2018-08-02 07:07:30,45.42,-121.24,273.5057,218.64166666666668
9040829,2018-08-02 19:15:00,46.73,-119.34,9043001,2018-08-02 13:30:00,41.96,-113.82,862.3775,657.0300000000001
9040829,2018-08-02 19:15:00,46.73,-119.34,9045476,2018-08-03 02:00:00,38.34,-119.92,1300.174,944.185
9040829,2018-08-02 19:15:00,46.73,-119.34,9048237,2018-08-02 16:52:30,44.85,-114.3,852.2236,693.1416666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9052758,2018-08-02 19:30:00,42.07,-114.62,806.3795,624.1949999999999
9040829,2018-08-02 19:15:00,46.73,-119.34,9062347,2018-07-28 07:30:00,33.94,-111.99,2099.9781000000003,1458.6966666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9063512,2018-07-28 15:30:00,41.52,-108.78,1391.3857,915.37
9040829,2018-08-02 19:15:00,46.73,-119.34,9063927,2018-07-28 14:22:30,46.34,-115.87,357.0217,311.2566666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9065707,2018-07-28 17:37:30,43.77,-107.9,1358.651,937.8216666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9066427,2018-08-04 12:15:00,48.45,-116.67,354.98740000000004,369.255
9040829,2018-08-02 19:15:00,46.73,-119.34,9066583,2018-07-29 05:45:00,43.01,-122.04,574.9932,501.43833333333333
9040829,2018-08-02 19:15:00,46.73,-119.34,9071636,2018-07-30 17:37:30,40.77,-111.47,1107.7349,721.7316666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9073125,2018-08-02 06:15:00,35.47,-107.31,2001.0165,1465.9916666666666
9040829,2018-08-02 19:15:00,46.73,-119.34,9074823,2018-07-29 14:45:00,34.56,-110.95,2053.0292,1451.9733333333331
